"X","Y"
115.9,80.1
120.8,82.2
111.9,79.8
117.2,75.5
118.9,81.9
115.1,78.5
116.5,80.9
124,80.2
125.1,79.8
115.7,81.6
115.5,75.8
118.3,82.5
118.6,83.5
125.5,86.8
118.5,74.9
115.4,81
113,77.3
118.3,79.7
119.3,83.4
120.2,78.5
118,84.2
106.9,77.8
117.4,79.7
117.3,84.2
115.4,82.4
121.8,84.3
112.5,76.7
118,76.9
119.8,80.4
121.6,79.2
119.9,76.6
119.7,80.8
108.4,75.6
116.1,79.1
127.8,81.2
117,82.9
115.3,77.1
122.2,84.5
123.9,82.9
115.3,81.1
123.3,82.4
109.6,79.6
118,80.4
111.9,81.6
117.5,79.1
121.7,77.3
117.5,78.7
115.4,78.6
123.4,82.6
113.8,80.6
127.2,81.7
120.4,80.9
121.2,79.8
115.1,78.5
117,77.5
120.5,83.2
121,80.7
115.8,84.6
117.3,81.4
117.3,76.1
118.3,83.4
117.4,81.2
118.3,83.8
117.4,86.6
117.2,82
115.9,75.6
109.2,74
115.5,79.1
112.5,76.5
118.3,82.9
116.9,83.5
110.9,78.4
119.6,80.6
119.6,84.6
119.6,77
124.5,79.6
114.9,79.2
117.9,81.4
120.9,79.3
116.4,73.2
115.5,82.8
113,79.4
129.2,84.6
124.6,80.6
126.6,81.7
118.2,79.1
119.2,82.9
119.4,78.1
117.2,78.6
115.7,78.8
118.9,74.9
119.7,78.5
115.2,80.3
114,82.7
115.6,81
110.8,83.5
115.1,81.2
111.4,74.8
